emp_no,first_name,last_name,tittle,salary,from_date,to_date
47262,Gonzalo,Binkley,Senior Engineer,40000,1985-08-16,9999-01-01
47515,Naraig,Jenevein,Senior Engineer,50098,1987-01-18,9999-01-01
47702,Juyoung,Vieri,Senior Staff,84625,1991-08-12,9999-01-01
47708,Edwin,Haldar,Senior Staff,76137,1995-07-12,9999-01-01
48275,Sariel,Massonet,Senior Staff,67799,1987-11-20,9999-01-01
48690,Hitomi,Schaap,Staff,47581,1999-09-27,9999-01-01
48882,Leen,Lamparter,Senior Engineer,40000,1993-06-07,9999-01-01
48904,Yuichiro,Malabarba,Senior Staff,58807,1994-03-07,9999-01-01
48947,Filipp,Akaboshi,Senior Staff,57836,1992-05-20,9999-01-01
49010,Kazuhisa,Benantar,Senior Staff,63422,1989-10-23,9999-01-01
49017,Filipp,Flanders,Senior Engineer,46622,1990-11-26,9999-01-01
49119,Lena,Peek,Senior Engineer,55051,1991-05-16,9999-01-01
49177,Tze,Bach,Engineer,44995,1999-03-09,9999-01-01
49464,Siddarth,Cappelletti,Staff,73678,1999-09-10,9999-01-01
49477,Baocai,Leaver,Senior Staff,40000,1998-08-05,9999-01-01
50293,Xinan,Rindone,Engineer,40000,1996-10-08,9999-01-01
50311,Mooi,Stafford,Senior Engineer,40000,1996-10-06,9999-01-01
50453,Aron,Harbusch,Staff,79402,1997-10-02,9999-01-01
50670,Boguslaw,Snedden,Senior Staff,64895,1985-02-20,9999-01-01
50831,Marie,Khalid,Senior Engineer,52845,1990-10-27,9999-01-01
51036,Chriss,Fasbender,Staff,55121,1995-05-23,9999-01-01
51057,Theirry,Albarhamtoshy,Senior Staff,58337,1991-09-27,9999-01-01
51060,Youngkon,Rohrbach,Senior Engineer,42308,1989-10-20,9999-01-01
51142,Rosine,Lakshmanan,Senior Engineer,46516,1986-01-31,9999-01-01
52038,Chikako,Armand,Senior Engineer,52102,1985-05-18,9999-01-01
52040,Phule,Heijenga,Senior Staff,40000,1992-02-22,9999-01-01
52283,Trygve,Krupka,Senior Staff,44232,1994-03-11,9999-01-01
52386,Adas,Denti,Senior Staff,65342,1986-05-30,9999-01-01
52590,Jouni,Munoz,Senior Staff,45171,1995-11-26,9999-01-01
52599,Augustine,Mungall,Senior Engineer,48897,1987-08-31,9999-01-01
52639,Arup,Colorni,Senior Staff,69976,1996-02-05,9999-01-01
52770,Shugo,Yurek,Senior Staff,65588,1992-08-28,9999-01-01
52778,Alain,Penn,Technique Leader,46041,1986-05-03,9999-01-01
52956,Khalil,Picci,Senior Engineer,40000,1987-03-21,9999-01-01
52970,Lobel,Werthner,Senior Engineer,47552,1988-03-17,9999-01-01
53278,Premsyl,Lortz,Senior Staff,67503,1993-02-01,9999-01-01
53314,Eberhardt,Carrera,Staff,40000,1999-02-23,9999-01-01
53431,Sham,Vasanthakumar,Senior Staff,60379,1985-10-24,9999-01-01
53499,Zdislav,Mandelberg,Senior Engineer,40000,1994-09-11,9999-01-01
53597,Jiafu,Marchegay,Senior Engineer,41626,1985-03-02,9999-01-01
53874,Bodo,Schade,Senior Staff,51955,1986-02-14,9999-01-01
53924,Arnould,Gaughan,Senior Engineer,40000,1991-01-23,9999-01-01
54198,Shaowen,Segond,Senior Engineer,40000,1986-01-06,9999-01-01
54632,Etsuo,Serot,Senior Staff,43788,1989-06-14,9999-01-01
54795,Sumant,Nergos,Senior Staff,40000,1993-05-07,9999-01-01
54800,Breannda,Cangellaris,Staff,74827,2000-01-27,9999-01-01
55640,Adit,Syrotiuk,Senior Engineer,40000,1993-07-16,9999-01-01
55687,Shih,Lindqvist,Senior Engineer,40000,1995-03-29,9999-01-01
55799,Jianwen,Litzler,Senior Engineer,61980,1987-06-17,9999-01-01
55857,Adin,Scallan,Senior Staff,70416,1987-09-15,9999-01-01
56105,Makato,Remmers,Senior Engineer,40000,1989-04-16,9999-01-01
56209,Remzi,Douceur,Senior Engineer,54373,1992-12-01,9999-01-01
56415,Sigeru,Nivat,Senior Staff,51148,1991-10-24,9999-01-01
56428,Olivera,Hanabata,Senior Staff,43255,1986-11-10,9999-01-01
56682,Roded,Picco,Assistant Engineer,40000,1993-11-06,9999-01-01
56829,Nagui,Gruenwald,Engineer,40000,1995-12-24,9999-01-01
56847,Menkae,Chinin,Senior Engineer,44031,1989-08-19,9999-01-01
57934,Sanjoy,Boudaillier,Senior Engineer,82396,1989-12-27,9999-01-01
58141,Bezalel,Karner,Staff,46317,1994-09-27,9999-01-01
58147,Shigenori,Sullins,Senior Staff,55703,1988-02-24,9999-01-01
58384,Mariusz,Vural,Senior Engineer,40000,1993-11-14,9999-01-01
58454,Ziya,Zambonelli,Engineer,44411,1999-06-29,9999-01-01
58497,Yechiam,Cairo,Senior Staff,90613,1996-07-12,9999-01-01
58819,Gennady,Liesche,Senior Staff,71147,1987-12-02,9999-01-01
58990,Palash,Trelles,Engineer,47785,1998-11-18,9999-01-01
59195,Ronnie,Pollock,Technique Leader,50132,1990-06-19,9999-01-01
59640,Zita,Hiltgen,Staff,45566,1999-01-26,9999-01-01
59869,Zsolt,Riefers,Senior Staff,56247,1987-09-25,9999-01-01
59966,Steen,Salvesen,Technique Leader,40000,1993-02-03,9999-01-01
60000,Heekeun,Emmart,Engineer,60002,1995-09-23,9999-01-01
60091,Surveyors,Bade,Senior Staff,46436,1990-04-11,9999-01-01
60238,Erzsebet,Claffy,Staff,73612,1997-03-03,9999-01-01
60559,Jeanna,Stemann,Senior Engineer,41261,1988-08-29,9999-01-01
60821,Moty,Mersereau,Senior Staff,44481,1991-09-03,9999-01-01
60845,Bedir,Siegrist,Engineer,71431,1997-05-13,9999-01-01
60875,Rildo,Masaki,Senior Engineer,41164,1990-01-14,9999-01-01
60959,Tetsushi,Sridhar,Senior Staff,62352,1989-01-12,9999-01-01
61147,Leszek,Werthner,Staff,64737,1999-03-03,9999-01-01
61253,Cheong,Uhrik,Senior Engineer,40000,1996-06-04,9999-01-01
61377,Dannz,Ohori,Senior Staff,40000,1988-01-18,9999-01-01
61541,Kasidit,Papsdorf,Senior Engineer,49649,1993-08-17,9999-01-01
61873,Woody,Rusmann,Engineer,40000,1993-02-26,9999-01-01
62033,Heeju,Cappelli,Senior Engineer,69343,1987-01-15,9999-01-01
62046,Karlis,Nanard,Senior Engineer,54073,1992-09-19,9999-01-01
62245,Adel,Bressoud,Engineer,40000,1995-08-30,9999-01-01
63294,Tetsushi,Tanemo,Senior Engineer,40000,1997-03-01,9999-01-01
63419,Hiroyasu,Seuren,Senior Engineer,40000,1989-03-05,9999-01-01
63441,Hinrich,Scallan,Staff,40000,1999-04-04,9999-01-01
63566,Heekeun,Slaats,Senior Staff,40000,1999-01-12,9999-01-01
63631,Falguni,Cherinka,Senior Engineer,40000,1986-09-08,9999-01-01
63706,Sedat,Itzigehl,Engineer,46185,1997-07-31,9999-01-01
64023,Laurentiu,Benzmuller,Senior Engineer,45861,1999-11-08,9999-01-01
64209,Golgen,Schoegge,Senior Staff,40000,1988-02-26,9999-01-01
64487,Tsutomu,Rebaine,Senior Engineer,42874,1986-09-17,9999-01-01
64532,Atilio,Segond,Senior Engineer,76024,1990-11-29,9999-01-01
64632,Zsolt,Brender,Senior Staff,74384,1996-02-21,9999-01-01
64790,Shin,Piveteau,Senior Engineer,59783,1985-04-19,9999-01-01
64828,Krister,Pappas,Staff,61091,1999-09-30,9999-01-01
64984,Eldridge,Eldridge,Senior Engineer,40000,1986-06-24,9999-01-01
65171,Jeane,Tasistro,Technique Leader,71349,1994-07-06,9999-01-01
65539,Aksel,Picaronny,Senior Engineer,60784,1991-01-27,9999-01-01
65883,Patricia,Pepe,Senior Staff,93721,1991-04-19,9999-01-01
65998,Mandell,Alameldin,Senior Staff,85937,1989-04-08,9999-01-01
66382,Domenico,Candan,Engineer,55428,1997-07-13,9999-01-01
66530,Dung,Leaver,Staff,40000,1998-04-04,9999-01-01
66643,Jianhao,Tomescu,Engineer,41133,1996-08-26,9999-01-01
66702,Deniz,Thibadeau,Senior Engineer,52161,1994-09-27,9999-01-01
66757,Yonghong,Baig,Staff,46812,1999-04-10,9999-01-01
66807,Aiman,Rosaz,Senior Engineer,50982,1990-05-22,9999-01-01
67320,Sadok,Lorys,Senior Staff,89952,1987-05-10,9999-01-01
67548,Fumitaka,Roohalamini,Staff,40000,1998-06-27,9999-01-01
67934,Aiman,Gargeya,Senior Engineer,54347,1985-03-07,9999-01-01
68416,Munenori,Debuse,Senior Engineer,54132,1990-11-08,9999-01-01
68608,Yucai,Seghrouchni,Senior Engineer,47652,1989-06-09,9999-01-01
68633,Chinhyun,Rassart,Senior Engineer,60777,1993-07-29,9999-01-01
68648,Jaques,DiGiano,Technique Leader,55150,1992-04-01,9999-01-01
69052,Shietung,Shrader,Senior Staff,42091,1995-08-05,9999-01-01
69219,Shuky,Redmiles,Senior Staff,75769,1994-07-06,9999-01-01
69867,Miyeon,Rothe,Senior Staff,82080,1991-04-09,9999-01-01
69878,Chinya,Cooke,Engineer,46063,1997-01-29,9999-01-01
69936,Lalit,Unni,Assistant Engineer,50124,1998-12-06,9999-01-01
70469,Tru,Miyakawa,Senior Staff,49746,1990-09-03,9999-01-01
70990,Arumugam,Nitta,Senior Engineer,56701,1990-03-23,9999-01-01
71066,Domenick,Basart,Senior Staff,78430,1996-01-05,9999-01-01
71141,Sajjad,Vitiello,Senior Staff,40000,1992-02-17,9999-01-01
71188,Pranjal,Schapiro,Senior Staff,64557,1986-12-14,9999-01-01
71243,Kinh,Buchter,Senior Engineer,51345,1986-03-29,9999-01-01
71334,Cathie,Peck,Senior Engineer,40000,1993-04-12,9999-01-01
71685,Kristinn,Olano,Senior Engineer,40000,1989-10-03,9999-01-01
71710,Hitomi,Takanami,Assistant Engineer,43204,1997-12-15,9999-01-01
71745,Adil,Laventhal,Engineer,40000,1992-05-13,9999-01-01
72190,Sajjad,Waeselynck,Engineer,43105,1999-09-13,9999-01-01
72194,Feiyu,Siepmann,Senior Engineer,70267,1998-10-01,9999-01-01
72232,Naraig,Veldwijk,Senior Engineer,61027,1989-07-10,9999-01-01
72640,Honglan,Hutton,Senior Engineer,40000,1993-10-04,9999-01-01
72918,Takahira,Szilard,Senior Staff,73810,1988-01-16,9999-01-01
73076,Froduald,Feldhoffer,Senior Engineer,44141,1993-03-16,9999-01-01
73233,Shigeo,Merey,Senior Engineer,43651,1985-07-30,9999-01-01
73516,Qingxiang,Badache,Senior Engineer,40000,1989-06-25,9999-01-01
73743,Anneke,Bernardeschi,Engineer,40000,1999-11-01,9999-01-01
74200,Holgard,Weiland,Senior Engineer,40000,1991-09-24,9999-01-01
74344,Hiroyasu,Provine,Engineer,40000,1994-11-25,9999-01-01
74668,Masako,Bonifati,Senior Staff,56031,1987-04-09,9999-01-01
74800,Yuuichi,Conde,Senior Engineer,40000,1989-03-08,9999-01-01
75354,Shuky,Jakobus,Senior Engineer,40000,1986-06-16,9999-01-01
75703,Kyoichi,Erman,Senior Engineer,40000,1996-07-25,9999-01-01
76189,Kolar,Hinsberger,Senior Engineer,47490,1986-10-20,9999-01-01
76201,Arif,Preusig,Senior Engineer,45799,1992-04-02,9999-01-01
76640,Tristan,Mitsuhashi,Senior Engineer,40000,1994-07-13,9999-01-01
77030,Faiza,Garnham,Technique Leader,47503,1986-03-02,9999-01-01
77303,Xinglin,Birge,Senior Staff,48808,1992-03-05,9999-01-01
77647,Niranjan,Schaaf,Technique Leader,42981,1989-11-05,9999-01-01
77815,Ronghao,Picaronny,Engineer,46164,1993-06-09,9999-01-01
78106,Ashish,Ratnaker,Senior Staff,73059,1986-11-10,9999-01-01
78363,Susumu,Fritzsche,Engineer,40030,1998-06-23,9999-01-01
78469,Leucio,Cappelli,Staff,40000,1997-08-22,9999-01-01
78871,Conor,Ghandeharizadeh,Senior Engineer,63067,1985-05-25,9999-01-01
79043,Katsuo,Hockney,Technique Leader,62200,1999-11-07,9999-01-01
79171,Guiseppe,Ellozy,Senior Engineer,44193,1991-01-12,9999-01-01
79310,Jeong,Cunliffe,Senior Staff,43707,1996-10-27,9999-01-01
79606,Arnd,Peir,Senior Engineer,50381,1986-12-11,9999-01-01
79763,Sanjoy,Barreiro,Senior Staff,80428,1988-04-09,9999-01-01
79895,Fei,Murtagh,Senior Staff,51534,1986-01-19,9999-01-01
80067,Kazuhisa,Weiland,Senior Staff,40000,1985-11-09,9999-01-01
80203,Shakhar,Baik,Staff,41466,1993-12-01,9999-01-01
80432,Stella,Figueira,Senior Staff,56584,1990-03-14,9999-01-01
80731,Shaowen,Eldridge,Senior Staff,54475,1987-12-05,9999-01-01
80850,Koldo,Luit,Senior Engineer,55815,1995-04-16,9999-01-01
80889,Shigeo,Linnainmaa,Senior Engineer,60339,1985-07-30,9999-01-01
80948,Harjit,Bardell,Senior Engineer,40000,1991-05-24,9999-01-01
81105,Jaewon,Boissier,Senior Engineer,51686,1992-05-24,9999-01-01
81545,Larisa,Kornyak,Technique Leader,40000,1996-03-10,9999-01-01
81644,Divine,Ghandeharizadeh,Staff,96620,1997-11-28,9999-01-01
81995,Sreekrishna,Brender,Senior Engineer,41280,1990-03-22,9999-01-01
82069,Yechezkel,Perfilyeva,Senior Engineer,40000,1994-11-03,9999-01-01
82098,Poornachandra,Wilharm,Senior Engineer,65236,1991-04-20,9999-01-01
82351,Stevo,Thambidurai,Senior Staff,40000,1989-10-27,9999-01-01
82511,Uwe,Koblick,Engineer,40000,1998-04-04,9999-01-01
82919,Shigeu,Claffy,Engineer,40000,1998-02-03,9999-01-01
82928,Alselm,Rikino,Senior Engineer,60112,1990-11-16,9999-01-01
83280,Francesca,Ellozy,Senior Engineer,53451,1999-08-08,9999-01-01
83289,Shigeichiro,Engelmann,Senior Engineer,40000,1994-01-09,9999-01-01
83509,Breannda,Collavizza,Senior Engineer,40000,1989-10-12,9999-01-01
83544,Leaf,Baak,Senior Staff,64345,1994-09-05,9999-01-01
83714,Ohad,Kilgore,Senior Engineer,43736,1990-07-01,9999-01-01
83805,Manohar,Harllee,Senior Engineer,81354,1987-03-11,9999-01-01
83941,Zsolt,Hagimont,Senior Staff,40000,1996-10-08,9999-01-01
84029,Babette,Eugenio,Staff,40000,1997-09-21,9999-01-01
84179,Shuichi,Nanard,Senior Engineer,40000,1989-03-14,9999-01-01
84236,Eberhardt,Barriga,Senior Staff,79481,1987-06-04,9999-01-01
84315,Kristina,Baumann,Assistant Engineer,40000,1996-09-26,9999-01-01
84451,Shiv,Aumann,Senior Engineer,52930,1998-06-14,9999-01-01
84508,Tommaso,Vidya,Engineer,40000,1998-05-02,9999-01-01
84840,Sverrir,Neimat,Staff,40000,1996-11-03,9999-01-01
84922,Parke,Unno,Engineer,40000,1996-07-01,9999-01-01
84942,Shin,Fujisaki,Technique Leader,40000,1988-02-23,9999-01-01
85216,Ferdinand,Rosiles,Senior Staff,50873,1997-07-08,9999-01-01
